Company,TypeName,Ram,Weight,Price,Touchscreen,Ips,ppi,Cpu Brand,HDD,SSD,GpuBrand,os
Apple,Ultrabook,8,1.37,856.5441984,0,1,226.98300468106115,Intel Core i5,0,128,Intel,Mac
Apple,Ultrabook,8,1.34,574.7462784,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
HP,Notebook,8,1.86,367.632,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Linux/ChromeOS/Others
Apple,Ultrabook,16,1.83,1622.344032,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Apple,Ultrabook,8,1.37,1153.149696,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Acer,Notebook,4,2.1,255.744,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Apple,Ultrabook,16,2.04,1368.211219,0,1,220.53462386625827,Intel Core i7,0,0,Intel,Mac
Apple,Ultrabook,8,1.34,740.826432,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Asus,Ultrabook,16,1.3,955.8432,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia,Windows
Acer,Ultrabook,8,1.6,492.3072,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.86,251.843904,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Linux/ChromeOS/Others
HP,Notebook,4,1.86,220.5728064,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Linux/ChromeOS/Others
Apple,Ultrabook,16,1.83,1560.019219,0,1,220.53462386625827,Intel Core i7,0,256,AMD,Mac
Dell,Notebook,4,2.2,318.976704,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Windows
Apple,Ultrabook,8,0.92,807.128064,0,1,226.41554716935852,Other Intel Processor,0,256,Intel,Mac
Apple,Ultrabook,8,1.37,970.900128,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Dell,Notebook,8,2.2,476.3232,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
Apple,Ultrabook,16,1.83,1827.29088,0,1,220.53462386625827,Intel Core i7,0,512,AMD,Mac
Lenovo,Notebook,8,2.2,319.04064,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Linux/ChromeOS/Others
Dell,Ultrabook,8,1.22,625.93344,1,1,165.6321180513006,Intel Core i5,0,128,Intel,Windows
Asus,Netbook,2,0.98,122.693184,0,0,135.0942111925629,Other Intel Processor,0,0,Intel,Windows
Lenovo,Gaming,8,2.5,638.72064,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia,Windows
HP,Notebook,4,1.86,164.95488,0,0,100.45466986113651,AMD Processor,500,0,AMD,Linux/ChromeOS/Others
Dell,2 in 1 Convertible,8,1.62,523.63584,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Ultrabook,8,1.91,421.33824,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,4,2.3,267.6616704,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Apple,Ultrabook,8,1.35,702.65664,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Dell,Notebook,8,2.2,511.488,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Dell,Ultrabook,8,1.88,829.88928,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows
HP,Notebook,8,2.5,572.86656,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Chuwi,Notebook,4,1.89,156.6368064,0,0,141.21199808219862,Other Intel Processor,0,0,Intel,Windows
Asus,Notebook,2,1.65,127.23264,0,0,111.93520355955211,AMD Processor,0,0,AMD,Windows
HP,Notebook,4,2.71,280.67904,0,0,127.33567457123111,AMD Processor,500,0,AMD,Windows
Dell,Ultrabook,16,1.2,1194.96384,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,638.08128,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,159.20064,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,234.64512,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Linux/ChromeOS/Others
Dell,Notebook,8,2.8,625.93344,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,312.4488384,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,561.99744,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,248.71104,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Linux/ChromeOS/Others
Dell,Gaming,16,2.65,958.40064,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,334.3788864,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Linux/ChromeOS/Others
Acer,Notebook,4,2.2,436.04352,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,638.72064,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,907.25184,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,235.92384,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Linux/ChromeOS/Others
Asus,Gaming,8,3.2,830.52864,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,408.55104,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,297.94176,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,203.95584,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Linux/ChromeOS/Others
Acer,Notebook,8,2.2,537.70176,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,254.7785664,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,705.21408,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,245.51424,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,490.900608,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,280.67904,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,374.7864384,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,1565.79264,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,265.3344,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Linux/ChromeOS/Others
Dell,Notebook,16,2.8,830.52864,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
